date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:40	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262608aca-239b%22	https://startbootstrap.github.io/robots.txt		(from )
10:08:41	16090/16090	---M-Z	200	added ('OK')	text/html	etag:W/%22623b69b6-3eda%22	https://startbootstrap.github.io/startbootstrap-shop-homepage/	E:/web/layouts/Shop/startbootstrap.github.io/startbootstrap-shop-homepage/index.html	(from )
10:08:41	23462/23462	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22623b69b6-5ba6%22	https://startbootstrap.github.io/startbootstrap-shop-homepage/assets/favicon.ico	E:/web/layouts/Shop/startbootstrap.github.io/startbootstrap-shop-homepage/assets/favicon.ico	(from https://startbootstrap.github.io/startbootstrap-shop-homepage/)
10:08:42	65696/65696	---M-Z	200	added ('OK')	text/css	etag:W/%22100a0-GGXd3Lt7Z9zvQlDlkMyalXSrpnM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	E:/web/layouts/Shop/cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css	(from https://startbootstrap.github.io/startbootstrap-shop-homepage/)
10:08:42	206548/206548	---M-Z	200	added ('OK')	text/css	etag:W/%22623b69b6-326d4%22	https://startbootstrap.github.io/startbootstrap-shop-homepage/css/styles.css	E:/web/layouts/Shop/startbootstrap.github.io/startbootstrap-shop-homepage/css/styles.css	(from https://startbootstrap.github.io/startbootstrap-shop-homepage/)
10:08:43	4675/4675	---M--	200	added ('OK')	image/jpg	date:Fri,%2007%20Jan%202022%2011:37:52%20GMT	https://dummyimage.com/450x300/dee2e6/6c757d.jpg	E:/web/layouts/Shop/dummyimage.com/450x300/dee2e6/6c757d.jpg	(from https://startbootstrap.github.io/startbootstrap-shop-homepage/)
10:08:43	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	E:/web/layouts/Shop/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://startbootstrap.github.io/startbootstrap-shop-homepage/)
10:08:43	330/330	---M-Z	200	added ('OK')	application/javascript	etag:W/%22623b69b6-14a%22	https://startbootstrap.github.io/startbootstrap-shop-homepage/js/scripts.js	E:/web/layouts/Shop/startbootstrap.github.io/startbootstrap-shop-homepage/js/scripts.js	(from https://startbootstrap.github.io/startbootstrap-shop-homepage/)
10:08:43	90528/90528	---M--	200	added ('OK')	font/woff2	etag:W/%22161a0-RkmHeGigBozlCxBdDSojXoAQyY8%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d	E:/web/layouts/Shop/cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/fonts/bootstrap-icons63f3.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css)
10:08:44	120468/120468	---M--	200	added ('OK')	font/woff	etag:W/%221d694-y/twIWOGVs18kVnoMM69+dsFnf8%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/fonts/bootstrap-icons.woff?856008caa5eb66df68595e734e59580d	E:/web/layouts/Shop/cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/fonts/bootstrap-icons63f3.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css)
10:08:44	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.5.0/font/bootstrap-icons.css)
